brown_login,brown_id,source,user_found,found_through,employment_status,employee_type,emp_status_date,affiliate_status,affiliate_start,affiliate_end,student_status_code,student_separation,blocked_reason
abrachne,140696116,Workday,found,{'brown_login': 'abrachne'},A,E,01/16/2024,,,,,,
acohen58,140563239,Workday,found,{'brown_login': 'acohen58'},A,E,03/28/2022,,,,,,
afine3,140317702,Workday,found,{'brown_login': 'afine3'},A,E,10/08/2019,,,,,,
agerhard,140594394,Workday,found,{'brown_login': 'agerhard'},A,N,12/08/2022,,,,,,
agoncal4,140238493,Workday,found,{'brown_login': 'agoncal4'},A,E,05/14/2018,,,,,,
agratz,140241968,Workday,found,{'brown_login': 'agratz'},A,N,04/09/2020,N,06/29/2018,01/31/2021,,,
ahart,010025797,Workday,found,{'brown_login': 'ahart'},A,N,12/08/2014,,,,N,09/01/1992,
ahickma3,140836933,Workday,found,{'brown_login': 'ahickma3'},A,N,02/09/2026,,,,,,
akane,010026256,Workday,found,{'brown_login': 'akane'},A,F,07/01/2021,,,,,,
al20,010498349,Workday,found,{'brown_login': 'al20'},A,F,07/01/2011,,,,,,
alaird,140048349,Workday,found,{'brown_login': 'alaird'},A,F,07/01/2016,,,,,,
alaughl2,140124837,Workday,found,{'brown_login': 'alaughl2'},A,E,10/25/2016,,,,,,
albower,010023643,Workday,found,{'brown_login': 'albower'},A,F,07/01/2022,,,,,,
amarcus1,140102518,Workday,found,{'brown_login': 'amarcus1'},A,E,03/14/2016,,,,,,
amehro15,140741740,Workday,found,{'brown_login': 'amehro15'},A,F,07/01/2024,N,03/11/2024,06/30/2024,,,
amsousa,010482965,Workday,found,{'brown_login': 'amsousa'},A,E,02/01/2011,,,,,,
anaizer,010155730,Workday,found,{'brown_login': 'anaizer'},A,F,07/01/2003,,,,,,
anester,010026072,Workday,found,{'brown_login': 'anester'},A,E,08/15/1995,,,,,,
ansimmon,010029068,Workday,found,{'brown_login': 'ansimmon'},A,F,07/01/1982,,,,,,
aoconno7,140257588,Workday,found,{'brown_login': 'aoconno7'},T,N,07/24/2026,,,,,,
aogunnai,140475719,Workday,found,{'brown_login': 'aogunnai'},A,E,11/15/2021,,,,,,
aruggier,100557727,Workday,found,{'brown_login': 'aruggier'},A,E,11/01/2021,N,06/20/2016,06/14/2019,G,06/27/2016,
as49,010437522,Workday,found,{'brown_login': 'as49'},P,F,07/01/2010,,,,,,
asa1,010586441,Workday,found,{'brown_login': 'asa1'},P,F,07/01/2012,,,,,,
ashephe5,140582106,Workday,found,{'brown_login': 'ashephe5'},A,E,10/24/2022,,,,,,
asherwin,000424790,Workday,found,{'brown_login': 'asherwin'},A,F,02/01/2015,N,08/20/2012,08/08/2013,IS,09/09/2009,
aspertin,010049097,Workday,found,{'brown_login': 'aspertin'},A,E,03/19/1997,,,,,,
atimons,140763149,Workday,found,{'brown_login': 'atimons'},A,N,09/09/2024,,,,,,
avidmar,100709163,Workday,found,{'brown_login': 'avidmar'},A,E,10/01/2018,N,07/29/2021,06/30/2023,G,06/25/2018,
awalsh6,140110850,Workday,found,{'brown_login': 'awalsh6'},A,E,04/25/2016,N,04/19/2016,12/31/2016,,,
awang287,140490215,Workday,found,{'brown_login': 'awang287'},A,N,01/18/2022,,,,,,
awhitta2,140775172,Workday,found,{'brown_login': 'awhitta2'},A,E,12/02/2024,,,,,,
awilso15,140163847,Workday,found,{'brown_login': 'awilso15'},A,N,01/30/2017,,,,,,
awinder,140175987,Workday,found,{'brown_login': 'awinder'},A,E,10/01/2024,N,07/01/2024,09/24/2024,,,
awindham,060072179,Workday,found,{'brown_login': 'awindham'},A,E,11/07/2005,,,,G,06/01/1993,
azaslavs,010030209,Workday,found,{'brown_login': 'azaslavs'},A,F,01/01/1994,,,,,,
bbogues,010064503,Workday,found,{'brown_login': 'bbogues'},A,F,07/01/1999,N,06/15/1998,08/31/1998,,,
bbossler,140375481,Workday,found,{'brown_login': 'bbossler'},A,F,07/01/2020,,,,,,
bbrown51,140644238,Workday,found,{'brown_login': 'bbrown51'},A,E,02/14/2023,,,,,,
bkillian,140163257,Workday,found,{'brown_login': 'bkillian'},A,E,09/19/2017,,,,,,
bleclerc,140118758,Workday,found,{'brown_login': 'bleclerc'},A,E,08/01/2016,,,,,,
bmalle,010320318,Workday,found,{'brown_login': 'bmalle'},A,F,09/01/2008,,,,,,
bmandevi,140217182,Workday,found,{'brown_login': 'bmandevi'},A,E,08/30/2021,,,,G,06/22/2020,
bmarcusp,010027049,Workday,found,{'brown_login': 'bmarcusp'},A,F,11/01/2017,,,,,,
bmeeks,020273017,Workday,found,{'brown_login': 'bmeeks'},A,F,07/01/2015,N,07/01/2007,07/31/2007,,,
bmoore,010151193,Workday,found,{'brown_login': 'bmoore'},T,M,07/01/2006,,,,,,
bmoore18,140574637,Workday,found,{'brown_login': 'bmoore18'},A,N,07/11/2022,,,,,,
boberkoe,010442317,Workday,found,{'brown_login': 'boberkoe'},A,E,10/04/2010,,,,,,
bpausade,010315900,Workday,found,{'brown_login': 'bpausade'},A,F,07/01/2015,,,,,,
bphipps,140803465,Workday,found,{'brown_login': 'bphipps'},A,E,02/24/2025,,,,,,
breginst,010028371,Workday,found,{'brown_login': 'breginst'},A,F,07/01/1994,,,,,,
brendab,010526315,Workday,found,{'brown_login': 'brendab'},A,E,08/26/2021,,,,,,
brownadmin,,,not_found,,,,,,,,,,No user found based on provided information.
brubenst,000424780,Workday,found,{'brown_login': 'brubenst'},A,F,07/01/2016,N,09/04/2007,09/01/2008,G,06/18/2007,
bsafran1,140483943,Workday,found,{'brown_login': 'bsafran1'},A,E,01/03/2022,,,,,,
bvalle,010114891,Workday,found,{'brown_login': 'bvalle'},A,E,04/22/2002,,,,,,
cabbona,002386009,Workday,found,{'brown_login': 'cabbona'},A,F,07/01/2006,,,,G,06/01/2004,
cacardos,010070848,Workday,found,{'brown_login': 'cacardos'},A,E,03/01/1999,,,,,,
caizenma,010023029,Workday,found,{'brown_login': 'caizenma'},A,F,07/01/2004,,,,G,06/01/1993,
cbrokaw,010370646,Workday,found,{'brown_login': 'cbrokaw'},A,F,07/01/2009,,,,,,
ccastigl,010181290,Workday,found,{'brown_login': 'ccastigl'},A,F,07/01/2005,,,,,,
cgarci61,140667345,Workday,found,{'brown_login': 'cgarci61'},A,E,08/07/2023,,,,,,
cgatsoni,010025335,Workday,found,{'brown_login': 'cgatsoni'},A,F,01/01/1995,,,,,,
cguerzon,010025647,Workday,found,{'brown_login': 'cguerzon'},A,E,11/03/1986,,,,,,
chall13,140241336,Workday,found,{'brown_login': 'chall13'},A,E,06/18/2018,,,,,,
charri21,140171400,Workday,found,{'brown_login': 'charri21'},P,E,04/17/2017,,,,,,
ckahlerm,010053608,Workday,found,{'brown_login': 'ckahlerm'},A,F,08/01/2001,,,,G,06/01/1991,
ckeith,010158834,Workday,found,{'brown_login': 'ckeith'},A,E,05/29/2007,,,,G,06/18/2012,
ckeith,010158834,Workday,found,{'brown_login': 'ckeith'},A,E,05/29/2007,,,,G,06/18/2012,
ckofron,000420201,Workday,found,{'brown_login': 'ckofron'},A,E,07/10/2017,N,02/26/2010,06/30/2010,G,06/22/2009,
claning,140565578,Workday,found,{'brown_login': 'claning'},A,E,05/09/2022,,,,,,
cnebeker,140310168,Workday,found,{'brown_login': 'cnebeker'},P,N,08/15/2022,N,01/02/2020,03/01/2020,,,
cnordlun,000800754,Workday,found,{'brown_login': 'cnordlun'},A,E,02/04/2016,N,09/07/2004,04/22/2005,G,06/01/2006,
coconn19,140477810,Workday,found,{'brown_login': 'coconn19'},A,N,11/15/2021,,,,,,
cpaterno,140490089,Workday,found,{'brown_login': 'cpaterno'},A,E,02/07/2022,,,,,,
cpoore,010028200,Workday,found,{'brown_login': 'cpoore'},A,F,07/01/2012,N,07/05/2012,07/09/2012,,,
credihan,020526224,Workday,found,{'brown_login': 'credihan'},A,E,01/23/2017,N,01/10/2012,08/05/2013,,,
cschmid,010567438,Workday,found,{'brown_login': 'cschmid'},A,F,06/01/2012,,,,,,
cshu,010029005,Workday,found,{'brown_login': 'cshu'},P,F,07/01/1987,,,,,,
csom,010783664,Workday,found,{'brown_login': 'csom'},A,E,05/30/2014,,,,,,
cwahl2,140688663,Workday,found,{'brown_login': 'cwahl2'},A,E,01/08/2024,,,,,,
dabramov,010146877,Workday,found,{'brown_login': 'dabramov'},A,F,01/01/2003,,,,,,
dadams9,140242070,Workday,found,{'brown_login': 'dadams9'},A,N,07/09/2018,,,,,,
dcosta5,140828400,Workday,found,{'brown_login': 'dcosta5'},A,E,09/22/2025,,,,,,
degge,010171199,Workday,found,{'brown_login': 'degge'},A,E,08/24/2004,,,,G,06/22/2015,
dfoley3,140260516,Workday,found,{'brown_login': 'dfoley3'},A,E,12/10/2018,,,,,,
djacobso,010026131,Workday,found,{'brown_login': 'djacobso'},A,F,07/01/1992,,,,,,
djsmith,010109316,Workday,found,{'brown_login': 'djsmith'},P,F,08/01/1999,,,,,,
dmahiet,140176573,Workday,found,{'brown_login': 'dmahiet'},A,E,08/01/2017,,,,,,
dmoser1,140127017,Workday,found,{'brown_login': 'dmoser1'},A,N,10/31/2016,,,,,,
dmwillia,010155417,Workday,found,{'brown_login': 'dmwillia'},A,F,07/01/2009,,,,,,
dneumann,010027708,Workday,found,{'brown_login': 'dneumann'},P,F,07/01/1990,,,,,,
dpappas,010027944,Workday,found,{'brown_login': 'dpappas'},A,E,07/06/1987,,,,,,
drand,010028329,Workday,found,{'brown_login': 'drand'},A,F,01/15/1991,,,,,,
dsax,010272044,Workday,found,{'brown_login': 'dsax'},A,F,07/01/2007,,,,,,
dschlact,010174723,Workday,found,{'brown_login': 'dschlact'},A,E,03/28/2005,,,,,,
dtavares,140755223,Workday,found,{'brown_login': 'dtavares'},A,N,07/15/2024,,,,,,
dweinrei,010067136,Workday,found,{'brown_login': 'dweinrei'},A,F,07/13/1998,N,10/13/2006,12/20/2006,,,
dwilkie,010109429,Workday,found,{'brown_login': 'dwilkie'},A,E,08/23/1999,,,,,,
eamanati,010130906,Workday,found,{'brown_login': 'eamanati'},A,F,07/01/2001,,,,,,
edolan1,140271703,Workday,found,{'brown_login': 'edolan1'},A,F,07/01/2019,,,,,,
ehawrot,010025822,Workday,found,{'brown_login': 'ehawrot'},P,F,07/01/1990,,,,,,
ejackvon,010109290,Workday,found,{'brown_login': 'ejackvon'},A,E,04/04/2011,N,12/11/2009,04/05/2011,,,
ekaldor,140305412,Workday,found,{'brown_login': 'ekaldor'},A,E,04/22/2019,,,,,,
ekaldor,140305412,Workday,found,{'brown_login': 'ekaldor'},A,E,04/22/2019,,,,,,
elboynto,010124719,Workday,found,{'brown_login': 'elboynto'},A,N,12/01/2020,,,,,,
emuhanna,010586503,Workday,found,{'brown_login': 'emuhanna'},A,F,07/01/2012,,,,,,
enetto,140111421,Workday,found,{'brown_login': 'enetto'},A,E,05/03/2016,,,,,,
eoharrin,010052596,Workday,found,{'brown_login': 'eoharrin'},A,E,03/01/1997,,,,,,
eosborn,010289882,Workday,found,{'brown_login': 'eosborn'},A,F,01/01/2008,,,,,,
epeimer,010028024,Workday,found,{'brown_login': 'epeimer'},A,E,10/14/2010,,,,,,
epollock,010202433,Workday,found,{'brown_login': 'epollock'},A,F,07/01/2025,,,,,,
es73,010669550,Workday,found,{'brown_login': 'es73'},A,F,07/01/2013,,,,,,
escantle,010126694,Workday,found,{'brown_login': 'escantle'},P,E,03/26/2001,,,,,,
eviola,010029778,Workday,found,{'brown_login': 'eviola'},A,N,09/12/1988,,,,,,
ewhittet,140671748,Workday,found,{'brown_login': 'ewhittet'},A,E,10/10/2023,,,,,,
fbeaudoi,010199304,Workday,found,{'brown_login': 'fbeaudoi'},A,M,01/01/2026,,,,G,06/26/2017,
gmarti63,140762796,Workday,found,{'brown_login': 'gmarti63'},A,N,09/05/2024,,,,,,
gmenon,002384560,Workday,found,{'brown_login': 'gmenon'},A,F,07/01/2004,,,,G,06/01/2001,
goliver,010677303,Workday,found,{'brown_login': 'goliver'},A,F,09/01/2013,,,,,,
grburke,010179197,Workday,found,{'brown_login': 'grburke'},A,E,07/09/2007,,,,,,
gxiao,010030131,Workday,found,{'brown_login': 'gxiao'},A,F,07/01/1989,,,,,,
hroth,010028605,Workday,found,{'brown_login': 'hroth'},A,F,07/01/1985,,,,,,
ihamilto,140246195,Workday,found,{'brown_login': 'ihamilto'},A,E,08/01/2018,,,,,,
iosayimw,010670940,Workday,found,{'brown_login': 'iosayimw'},P,F,07/01/2013,,,,,,
iwilson,010439914,Workday,found,{'brown_login': 'iwilson'},A,F,09/01/2010,,,,,,
JaneDoe,,,not_found,,,,,,,,,,No user found based on provided information.
jarussel,020188828,Workday,found,{'brown_login': 'jarussel'},A,F,07/01/2023,N,11/14/2005,12/20/2005,,,
jbautist,010047254,Workday,found,{'brown_login': 'jbautist'},A,N,10/22/1996,,,,,,
jberesfo,010023448,Workday,found,{'brown_login': 'jberesfo'},A,F,07/01/2026,,,,,,
jblackw4,140571372,Workday,found,{'brown_login': 'jblackw4'},A,E,08/15/2022,,,,,,
jcasasa1,010778438,Workday,found,{'brown_login': 'jcasasa1'},A,E,05/13/2014,,,,,,
jcaya,140050333,Workday,found,{'brown_login': 'jcaya'},A,E,06/01/2015,,,,,,
jcayley,010272115,Workday,found,{'brown_login': 'jcayley'},A,F,07/01/2007,,,,,,
jcho22,140117903,Workday,found,{'brown_login': 'jcho22'},A,E,08/01/2016,,,,,,
jeloewen,010442022,Workday,found,{'brown_login': 'jeloewen'},A,E,09/28/2010,,,,,,
jhenders,010025862,Workday,found,{'brown_login': 'jhenders'},A,F,07/01/2013,,,,,,
jhirth,060090651,Workday,found,{'brown_login': 'jhirth'},A,F,09/01/2024,,,,G,06/01/1991,
jhoffste,010025949,Workday,found,{'brown_login': 'jhoffste'},A,F,07/01/1989,,,,,,
jhogansc,010025955,Workday,found,{'brown_login': 'jhogansc'},A,F,09/01/1995,,,,,,
jhughto,140226125,Workday,found,{'brown_login': 'jhughto'},A,F,05/09/2018,,,,,,
jjstein,010029289,Workday,found,{'brown_login': 'jjstein'},A,F,09/01/1995,,,,G,06/01/1995,
jkurtis,000194068,Workday,found,{'brown_login': 'jkurtis'},A,F,07/01/2017,,,,G,06/01/1996,
jleinawe,020313808,Workday,found,{'brown_login': 'jleinawe'},A,F,07/01/2008,N,05/06/2008,06/27/2008,,,
jlogan9,140563315,Workday,found,{'brown_login': 'jlogan9'},A,E,04/25/2022,,,,,,
jmmuller,010027599,Workday,found,{'brown_login': 'jmmuller'},A,F,01/01/2026,,,,,,
jpapay,020515239,Workday,found,{'brown_login': 'jpapay'},A,F,01/01/2012,N,11/09/2011,01/01/2012,,,
jperry16,140299917,Workday,found,{'brown_login': 'jperry16'},A,E,02/25/2019,,,,,,
jpucci,010028256,Workday,found,{'brown_login': 'jpucci'},A,F,07/01/1989,,,,,,
jquiroz,010518464,Workday,found,{'brown_login': 'jquiroz'},A,E,05/05/2013,,,,,,
jr17,010370530,Workday,found,{'brown_login': 'jr17'},A,F,07/01/2009,,,,,,
jrevill,010455587,Workday,found,{'brown_login': 'jrevill'},A,E,01/19/2011,,,,G,06/17/2024,
jriddle3,140765964,Workday,found,{'brown_login': 'jriddle3'},A,N,10/21/2024,,,,,,
jsacheck,140781783,Workday,found,{'brown_login': 'jsacheck'},A,F,02/01/2025,,,,,,
jtessier,140132284,Workday,found,{'brown_login': 'jtessier'},A,N,12/12/2016,,,,,,
jtraceyu,140566782,Workday,found,{'brown_login': 'jtraceyu'},A,E,05/10/2022,,,,,,
jtyrol,140118677,Workday,found,{'brown_login': 'jtyrol'},A,E,08/01/2016,,,,,,
jvieira,010052540,Workday,found,{'brown_login': 'jvieira'},A,E,05/05/1997,N,09/15/2010,10/06/2010,,,
jyedinak,010809362,Workday,found,{'brown_login': 'jyedinak'},A,E,10/01/2014,,,,,,
jyschell,000822887,Workday,found,{'brown_login': 'jyschell'},A,E,09/01/2011,,,,G,06/18/2012,
kalldred,140128784,Workday,found,{'brown_login': 'kalldred'},A,N,09/11/2023,,,,AS,,
kandes,140574695,Workday,found,{'brown_login': 'kandes'},A,F,08/01/2022,,,,,,
kbaptist,010121316,Workday,found,{'brown_login': 'kbaptist'},A,E,04/18/2005,,,,,,
kbarnes,010023307,Workday,found,{'brown_login': 'kbarnes'},A,E,09/21/1988,,,,TS,06/01/2001,
kbiello,140050000,Workday,found,{'brown_login': 'kbiello'},A,F,07/01/2015,,,,,,
kbrobisk,010023718,Workday,found,{'brown_login': 'kbrobisk'},A,N,11/13/1989,,,,,,
kcobb3,140569234,Workday,found,{'brown_login': 'kcobb3'},A,F,07/01/2022,,,,,,
kcorreia,020272436,Workday,found,{'brown_login': 'kcorreia'},A,E,09/19/2007,N,06/22/2007,09/17/2007,,,
kdain,140479228,Workday,found,{'brown_login': 'kdain'},A,E,11/09/2021,,,,,,
khaynes,010156045,Workday,found,{'brown_login': 'khaynes'},A,F,07/01/2003,,,,,,
kkdodd,140190861,Workday,found,{'brown_login': 'kkdodd'},T,N,03/20/2026,,,,,,
kkeenan,140018277,Workday,found,{'brown_login': 'kkeenan'},A,N,01/05/2015,,,,,,
kkwong,010184728,Workday,found,{'brown_login': 'kkwong'},A,F,09/01/2025,,,,,,
km8,020245784,Workday,found,{'brown_login': 'km8'},P,F,07/01/2017,N,04/02/2007,06/20/2007,,,
kmclaugh,010039979,Workday,found,{'brown_login': 'kmclaugh'},P,F,07/01/1996,,,,,,
kmcphail,020370152,Workday,found,{'brown_login': 'kmcphail'},A,E,01/04/2010,N,09/15/2010,09/17/2010,,,
kmendici,010670734,Workday,found,{'brown_login': 'kmendici'},P,F,07/01/2013,,,,,,
kmontei1,140049000,Workday,found,{'brown_login': 'kmontei1'},A,E,06/01/2015,,,,,,
knewman,010027718,Workday,found,{'brown_login': 'knewman'},A,F,01/01/2020,,,,,,
kphilips,140582636,Workday,found,{'brown_login': 'kphilips'},A,E,11/14/2022,,,,G,09/03/2025,
ks18,020272301,Workday,found,{'brown_login': 'ks18'},A,E,07/01/2008,N,06/19/2007,08/16/2007,,,
ksabbag1,140557448,Workday,found,{'brown_login': 'ksabbag1'},A,E,03/01/2022,,,,,,
kscanga,010724023,Workday,found,{'brown_login': 'kscanga'},A,E,02/24/2014,,,,,,
kschott,010204805,Workday,found,{'brown_login': 'kschott'},A,E,09/07/2006,,,,,,
kstepano,010193966,Workday,found,{'brown_login': 'kstepano'},A,E,05/15/2006,,,,,,
kwhyte2,140737197,Workday,found,{'brown_login': 'kwhyte2'},A,N,01/25/2024,,,,,,
langela,010440935,Workday,found,{'brown_login': 'langela'},A,E,04/28/2026,,,,TS,09/07/2011,
larsenau,140643108,Workday,found,{'brown_login': 'larsenau'},T,N,07/22/2026,,,,,,
lbrossay,010115165,Workday,found,{'brown_login': 'lbrossay'},A,F,01/01/2000,,,,,,
lclark8,140315507,Workday,found,{'brown_login': 'lclark8'},A,F,08/01/2019,,,,,,
lclarke,010165138,Workday,found,{'brown_login': 'lclarke'},A,E,05/10/2004,,,,,,
lgandhi,010777819,Workday,found,{'brown_login': 'lgandhi'},A,F,06/01/2014,,,,,,
lhebert,010109141,Workday,found,{'brown_login': 'lhebert'},A,E,07/19/1999,,,,,,
ljoyrich,020047252,Workday,found,{'brown_login': 'ljoyrich'},A,F,07/01/1999,,10/01/1996,05/31/1998,G,06/01/1990,
