brown_login,source,brown_id,user_found,found_through,student_status_code,employment_status,employee_type,emp_status_date,student_separation,affiliate_status,affiliate_start,affiliate_end,blocked_reason
mbarshay,Advance,140456821,found,{'brown_login': 'mbarshay'},G,T,S,07/24/2026,06/15/2026,,,,
aaching,Advance,140708085,found,{'brown_login': 'aaching'},G,T,S,06/16/2026,06/15/2026,,,,
pgoel5,Advance,140148463,found,{'brown_login': 'pgoel5'},G,T,S,06/16/2026,06/15/2026,,,,
ehornbuc,Advance,140346360,found,{'brown_login': 'ehornbuc'},G,T,N,02/13/2026,06/16/2025,N,02/14/2026,05/31/2026,
lrayor,Advance,140690531,found,{'brown_login': 'lrayor'},G,T,S,08/12/2026,06/15/2026,,,,
esilva4,Advance,140165417,found,{'brown_login': 'esilva4'},G,T,G,01/28/2026,06/15/2026,,,,
ntiemtor,Advance,140472229,found,{'brown_login': 'ntiemtor'},G,T,S,07/31/2026,06/15/2026,,,,
kwu17,Advance,140099449,found,{'brown_login': 'kwu17'},G,T,S,07/24/2026,06/15/2026,,,,
mzhou80,Advance,140688438,found,{'brown_login': 'mzhou80'},G,T,S,08/18/2026,06/15/2026,,,,
akabdelg,Banner,140599278,found,{'brown_login': 'akabdelg'},AS,A,G,06/01/2023,,,,,
ralhiary,Banner,140690057,found,{'brown_login': 'ralhiary'},AS,A,G,06/01/2024,,,,,
mandolfa,Banner,140324159,found,{'brown_login': 'mandolfa'},AS,A,S,06/13/2025,,,,,
jareza,Banner,140779371,found,{'brown_login': 'jareza'},AS,A,G,06/01/2025,,,,,
aarthur6,Banner,140575560,found,{'brown_login': 'aarthur6'},AS,,,,,,,,
faung,Banner,140300199,found,{'brown_login': 'faung'},AS,A,S,09/04/2024,,,,,
ebaek2,Banner,140680083,found,{'brown_login': 'ebaek2'},AS,A,S,08/10/2025,,,,,
abarcell,Banner,140086225,found,{'brown_login': 'abarcell'},AS,A,G,06/01/2024,,,,,
hbates2,Banner,140323685,found,{'brown_login': 'hbates2'},AS,A,S,06/30/2025,,,,,
tbenheim,Banner,140596745,found,{'brown_login': 'tbenheim'},AS,A,G,06/01/2023,,,,,
anbhat,Banner,140680473,found,{'brown_login': 'anbhat'},AS,A,S,01/20/2026,,,,,
fbragg,Banner,140020691,found,{'brown_login': 'fbragg'},AS,T,S,06/01/2022,,,,,
mbrammer,Banner,140273381,found,{'brown_login': 'mbrammer'},AS,A,G,06/01/2023,,,,,
sbrinton,Banner,140443766,found,{'brown_login': 'sbrinton'},AS,A,G,06/01/2025,06/20/2022,,,,
labroder,Banner,140695377,found,{'brown_login': 'labroder'},AS,A,S,02/13/2026,,,,,
abryant9,Banner,140485210,found,{'brown_login': 'abryant9'},AS,A,G,06/01/2022,,,,,
nburns1,Banner,140106024,found,{'brown_login': 'nburns1'},AS,T,S,12/03/2024,,,,,
dbuyukya,Banner,140105634,found,{'brown_login': 'dbuyukya'},AS,A,G,09/01/2024,,,,,
scabrer7,Banner,140781810,found,{'brown_login': 'scabrer7'},AS,A,G,06/01/2025,,,,,
pmcarval,Banner,140513476,found,{'brown_login': 'pmcarval'},AS,A,S,08/24/2025,,,,,
sgchawla,Banner,140582309,found,{'brown_login': 'sgchawla'},AS,A,S,09/05/2024,,,,,
vchen39,Banner,140544806,found,{'brown_login': 'vchen39'},AS,A,G,06/01/2022,,,,,
zchen301,Banner,140596895,found,{'brown_login': 'zchen301'},AS,A,G,06/01/2023,,,,,
zchou1,Banner,140573336,found,{'brown_login': 'zchou1'},AS,,,,,,,,
mcolonva,Banner,140596287,found,{'brown_login': 'mcolonva'},AS,A,G,06/01/2023,,,,,
rcumming,Banner,100650775,found,{'brown_login': 'rcumming'},AS,A,G,06/01/2023,,,,,
zdanglem,Banner,140610430,found,{'brown_login': 'zdanglem'},AS,A,S,08/26/2024,,,,,
bwdaniel,Banner,140610431,found,{'brown_login': 'bwdaniel'},AS,T,S,01/28/2026,,,,,
